Provider ID,Provider Name,Unique Food Items
563,Daniels-Kim,5
161,Campbell LLC,4
332,Cox LLC,4
752,Butler-Richardson,4
906,Wright LLC,4
995,Moore Group,4
4,"Clark, Prince and Williams",3
7,Ortiz-Lee,3
41,Kelly-Ware,3
47,Wong-Reese,3
57,Cook Group,3
98,Hogan-Johnston,3
108,Williams-Cox,3
113,"Anderson, Nicholson and Bruce",3
139,Johnson-Ray,3
140,Zhang LLC,3
146,Hampton-Lee,3
154,Smith-Turner,3
162,"Moore, Perez and Young",3
176,Allen-Mccullough,3
192,"Hunter, Ballard and Caldwell",3
210,Jones-Miller,3
241,"Harper, Blake and Alexander",3
242,Aguilar-Frederick,3
251,Carter-Jones,3
306,"Evans, Wright and Mitchell",3
312,Garcia-Hunter,3
315,Nelson LLC,3
319,"Davila, Green and Avila",3
346,"Phillips, Wolfe and Martin",3
357,Carey PLC,3
384,Rogers-Warren,3
387,Barrera-Ward,3
391,Lambert Ltd,3
393,Steele Ltd,3
413,"Davis, Bowen and Miller",3
432,Meyer and Sons,3
459,Brown Ltd,3
478,"Lopez, Roach and Roach",3
485,Baker-Mcdonald,3
499,Blankenship-Lewis,3
514,Roy-Hancock,3
518,"Hill, Davis and Stewart",3
550,"Phelps, Graham and Hayes",3
551,"Holland, Caldwell and Oliver",3
610,"Kelly, Cummings and Ward",3
616,Moore-Flowers,3
632,"Oliver, Ross and Johnson",3
655,Smith Group,3
678,Ruiz-Oneal,3
709,Barry Group,3
758,Todd Group,3
783,Cooper LLC,3
785,Crane LLC,3
798,Jordan LLC,3
825,"Smith, Lynch and Anderson",3
826,"Rogers, Harmon and Gordon",3
846,Miller Inc,3
857,Holmes-Schaefer,3
888,Schmidt-Alexander,3
890,"Simpson, Mcguire and Brown",3
967,Miller Inc,3
993,Mckinney Ltd,3
1,Gonzales-Cochran,2
2,"Nielsen, Johnson and Fuller",2
5,Coleman-Farley,2
17,Miller Ltd,2
22,Miller-Carter,2
31,Thompson-Kerr,2
34,"Cooper, Smith and King",2
39,Fernandez-Bridges,2
46,"Fisher, Hernandez and Webster",2
50,Perez-Williams,2
54,"Bennett, Phillips and Green",2
58,"Martin, Tyler and Wilkerson",2
62,"Mitchell, Campbell and Jones",2
71,Jones-Edwards,2
72,"Ward, Shepherd and Krause",2
74,Johnston Ltd,2
87,"Young, Townsend and Mccarthy",2
101,Chambers-Waters,2
107,"Pollard, Tyler and Davis",2
117,"Morales, Wood and Cox",2
126,"Jackson, Gonzalez and Smith",2
135,Dyer Group,2
