City,Receiver Count
New Christopher,3
Spencermouth,2
Moorechester,2
Lake Mary,2
Smithshire,2
Lake Daniel,2
Kellybury,2
Greenton,2
North Lori,2
West James,2
North Christina,2
Davidmouth,2
Allenmouth,2
Stevenmouth,2
Emilymouth,2
Ashleyborough,2
New Derek,2
Williamsfort,2
Port Samantha,2
Longmouth,2
Port Richard,2
Lake Rebeccaton,2
Jenniferbury,2
Brandonhaven,2
Christopherchester,2
West Richard,2
Sarahaven,2
Phillipston,2
Robertton,2
Josephton,2
Markfurt,2
South Mark,2
East Michael,2
Port Carlburgh,1
Lewisburgh,1
South Randalltown,1
South Shaneville,1
Bakerport,1
East Sharimouth,1
South Edwinborough,1
Benjaminburgh,1
West Robert,1
Wrightland,1
South Gregorymouth,1
Katherineside,1
Lake Matthewstad,1
Burkeside,1
Port Ronald,1
Port Tara,1
Silvaport,1
Moranhaven,1
North Cynthiaberg,1
Sandrahaven,1
Jonesside,1
Lake Nicole,1
Aliciabury,1
Monicafort,1
Lake Elizabeth,1
Port Matthewmouth,1
Susanfurt,1
Courtneyfurt,1
Lake Kendra,1
North Heather,1
Taylorfort,1
Walshfort,1
North Robert,1
South Rachaelhaven,1
Olsonville,1
West Erik,1
Josephview,1
West Carrie,1
Port Kellyburgh,1
Port Dawntown,1
Amberfort,1
Davisborough,1
South Laurachester,1
East Teresahaven,1
East Saraport,1
South Tonyaborough,1
North Sarah,1
Port Johnchester,1
Hornemouth,1
Tomburgh,1
Higginsmouth,1
Larastad,1
Jasonshire,1
New Mary,1
Michaelton,1
Phillipborough,1
South Kathleenbury,1
North Catherinefurt,1
East William,1
North Darinshire,1
Port Belinda,1
West Jaclyn,1
Strongshire,1
Edwardburgh,1
East Dylan,1
Gregoryville,1
New Gloriaburgh,1
West Angelatown,1
Christineton,1
Laurafurt,1
Manningtown,1
North Jenniferside,1
North David,1
Marshallton,1
Angelaville,1
Knightburgh,1
Port Gregoryport,1
Evansside,1
Davidview,1
East Kelli,1
Lake John,1
West Ronaldland,1
Robinsonside,1
Garrettborough,1
Alexatown,1
New Jessica,1
Laurafort,1
Carterside,1
South Veronicaburgh,1
Henryhaven,1
Russellville,1
Robertaborough,1
Hollytown,1
North Matthewhaven,1
West Justin,1
North Joshuafort,1
North Pamela,1
Lake Rebecca,1
Port Elizabethton,1
East Josephstad,1
Theresamouth,1
Lake Michaelton,1
West Johnny,1
Michaeltown,1
Georgeborough,1
Meganton,1
Scottmouth,1
Port Teresa,1
East Heatherborough,1
South Franciscoport,1
Deanview,1
Kennethberg,1
Ayalamouth,1
Port Patriciachester,1
South Alexandraport,1
Meghanfort,1
Campbellchester,1
North Roger,1
New Benjamin,1
Drakeburgh,1
Marieview,1
Jeffhaven,1
South Jasonberg,1
Marcusberg,1
Huntermouth,1
New Elaine,1
Bakerfort,1
Phillipsbury,1
Dawnview,1
Wilsonfort,1
Nancyshire,1
North Paul,1
Tanyachester,1
Joshuamouth,1
New Shannonbury,1
North Amandafort,1
Danielfort,1
New Aimeemouth,1
Caseyland,1
Williamtown,1
Lake Victoriaport,1
Patriciaton,1
Jacobsmouth,1
Charleston,1
South Ashley,1
Lisaton,1
South Jill,1
Mcclurestad,1
Amandaville,1
Daleshire,1
Heatherfurt,1
East Sarahtown,1
Ginamouth,1
West Shawn,1
East Timhaven,1
Nguyenfurt,1
Port Erica,1
Joanchester,1
Thomaston,1
West Courtneyport,1
Smithstad,1
New Tiffany,1
Nicoleport,1
Robertsonchester,1
Port Emilymouth,1
West Krystalview,1
Peterhaven,1
Seanside,1
Thomasland,1
Port Melissa,1
Lake Amanda,1
Heathertown,1
Lake Erica,1
Angelicatown,1
Maxberg,1
North Shelby,1
New Seanburgh,1
Toddborough,1
Figueroaport,1
Shawmouth,1
New Jason,1
Port Dustin,1
East Tinamouth,1
East Teresamouth,1
East Sharon,1
East Jillian,1
Corybury,1
North Mario,1
North Lindachester,1
West Casey,1
Ramseystad,1
South Kendraville,1
Andrewmouth,1
Steveberg,1
South Anna,1
Baileyville,1
New Roseville,1
Port Stephen,1
West Amybury,1
New Daniel,1
Lake Austinmouth,1
Dantown,1
Robinsonland,1
West Aaronport,1
Hallside,1
East Jacob,1
West Jessica,1
Fergusonton,1
Port Maria,1
Singletonview,1
Bushview,1
Poolestad,1
Port Brianville,1
Davidshire,1
Port Ericmouth,1
Lake Julia,1
Rogerburgh,1
West Josephshire,1
Davisburgh,1
North Kimberlyport,1
Edwardsside,1
Wilsonfurt,1
Garciaview,1
West Vickie,1
Carolhaven,1
New Craig,1
Lake Darrellburgh,1
Aaronshire,1
New Abigail,1
Lake Kelli,1
Jenniferberg,1
Martinland,1
New Julian,1
West Christiantown,1
New Tina,1
Christopherland,1
South Amy,1
Barnesport,1
Lake Jessicaborough,1
East Moniquemouth,1
East John,1
West Johnmouth,1
West Kelly,1
Murrayview,1
Bauerton,1
Dylanton,1
Monicaton,1
East Ashleyshire,1
Brianchester,1
Autumnbury,1
East Williamborough,1
Brandonside,1
West Christopher,1
Port Jessica,1
Port Samanthamouth,1
Lake Christychester,1
Lake Stephenport,1
Isaiahtown,1
Dustinfurt,1
Stephaniechester,1
Castilloland,1
Burnettton,1
Susanview,1
Lake Tina,1
Hannahside,1
North Josephland,1
Shermantown,1
East Bryan,1
Jamesstad,1
East Dale,1
Lake Michael,1
Aguilarstad,1
Marksmouth,1
Alexanderbury,1
North Alexander,1
Melissaport,1
Millerport,1
Edwardshaven,1
Kellyville,1
Calebview,1
North Patriciamouth,1
Cynthiashire,1
New Julia,1
New Sara,1
Geraldchester,1
Schaeferfort,1
North Kimberlyfort,1
Haleymouth,1
West Aaronberg,1
Meganmouth,1
Lake Glenview,1
Danielborough,1
Andersenfort,1
North Williamview,1
South Bethanyport,1
North Ashleymouth,1
New Sarahmouth,1
Thompsonhaven,1
South Amybury,1
East Gina,1
Melissaview,1
New Justinhaven,1
Edwardfort,1
North Bruce,1
Reidton,1
Hammondfort,1
Chaseview,1
Lake Melindaside,1
Victoriastad,1
East Lisafurt,1
South Michelleshire,1
Thomasberg,1
Gomezmouth,1
New William,1
Murphyfort,1
Melindaview,1
Priceborough,1
Rushfurt,1
East Joseph,1
Maryfort,1
Angelamouth,1
Juliastad,1
Lake Lesliemouth,1
Lake Dillonborough,1
Swansonport,1
West Jeffrey,1
West Dan,1
North Nicole,1
Johnland,1
North Jamesfurt,1
New Corey,1
South John,1
Jaredport,1
West Matthewborough,1
Duncanchester,1
Paulmouth,1
Port Dean,1
South Barbaraburgh,1
Port Brandonberg,1
Port Johnstad,1
Lake Stevenburgh,1
Jamieview,1
Leeton,1
Lawrencechester,1
Lake Cory,1
Lake Ryan,1
Reevestown,1
Perezport,1
West Tina,1
North Michelle,1
Kellyfurt,1
Tiffanyport,1
Lisafurt,1
Rachelberg,1
Lake Jonathanchester,1
New Brandonton,1
Lake Clinton,1
Gordonstad,1
West Jorge,1
Sarahville,1
Sherryhaven,1
New Amy,1
Bergerport,1
Port Carmen,1
West Donnaton,1
West Randall,1
Lake Matthew,1
North Manuel,1
New Deborahville,1
New Kevin,1
Chambersmouth,1
Lake Crystal,1
Clarkhaven,1
Morganville,1
North Abigail,1
West Mikayla,1
Port Dianemouth,1
New Natalieland,1
Lake Laurenburgh,1
Christinaland,1
Rayfurt,1
North Holly,1
Port Thomasstad,1
Josephborough,1
Jonathanview,1
South Tyler,1
South Edwardburgh,1
Lewisfort,1
Chadport,1
Rosaleschester,1
Lake Steven,1
Lake Karen,1
Russellburgh,1
Pagemouth,1
East Douglas,1
East Melissaport,1
Lake Kyleside,1
South Connorview,1
Martinezside,1
Robertsport,1
West Rogerview,1
Lake Joshuaville,1
North Margarethaven,1
Troyshire,1
West Cherylland,1
Port Sara,1
Port Michaelmouth,1
Coreymouth,1
North Kathryn,1
Port Deborahbury,1
Mikemouth,1
New Timothymouth,1
Port Jenniferborough,1
New Rebecca,1
Hollyside,1
Port Judith,1
Davidport,1
Cruzborough,1
Port Deborah,1
Lake Christina,1
Sandratown,1
East Andrewhaven,1
Powerston,1
West Justinberg,1
Edwardport,1
Lake Adriennechester,1
North Jeffreychester,1
Bushbury,1
Chrisport,1
South William,1
East Daniel,1
Heatherhaven,1
Johnsonberg,1
North Robinville,1
North Kimberlyland,1
Port Dominique,1
Port Sarah,1
Bobbyfort,1
